institute_id,institute,institute_short_name,institute_type,iit_generation,nit_region,is_top_tier_college
22,"Indian Institute of Handloom Technology, Salem","Indian Institute of Handloom Technology, Salem",GFTI,Not IIT,Not NIT,False
23,Indian Institute of Information Technology (IIIT) Nagpur,IIIT (IIIT) Nagpur,IIIT,Not IIT,Not NIT,False
24,Indian Institute of Information Technology (IIIT) Pune,IIIT (IIIT) Pune,IIIT,Not IIT,Not NIT,False
25,Indian Institute of Information Technology (IIIT) Ranchi,IIIT (IIIT) Ranchi,IIIT,Not IIT,Not NIT,False
26,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","IIIT (IIIT), Sri City, Chittoor",IIIT,Not IIT,Not NIT,False
27,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","IIIT (IIIT)Kota, Rajasthan",IIIT,Not IIT,Not NIT,False
28,Indian Institute of Information Technology Bhagalpur,IIIT Bhagalpur,IIIT,Not IIT,Not NIT,False
29,Indian Institute of Information Technology Bhopal,IIIT Bhopal,IIIT,Not IIT,Not NIT,False
30,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","IIIT Design & Manufacturing Kurnool, Andhra Pradesh",IIIT,Not IIT,Not NIT,False
31,Indian Institute of Information Technology Guwahati,IIIT Guwahati,IIIT,Not IIT,Not NIT,False
32,Indian Institute of Information Technology Lucknow,IIIT Lucknow,IIIT,Not IIT,Not NIT,True
33,Indian Institute of Information Technology Manipur,IIIT Manipur,IIIT,Not IIT,Not NIT,False
34,"Indian Institute of Information Technology Srirangam, Tiruchirappalli","IIIT Srirangam, Tiruchirappalli",IIIT,Not IIT,Not NIT,False
35,Indian Institute of Information Technology Surat,IIIT Surat,IIIT,Not IIT,Not NIT,False
36,Indian Institute of Information Technology Tiruchirappalli,IIIT Tiruchirappalli,IIIT,Not IIT,Not NIT,False
37,Indian Institute of Information Technology(IIIT) Dharwad,IIIT(IIIT) Dharwad,IIIT,Not IIT,Not NIT,False
38,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","IIIT(IIIT) Kalyani, West Bengal",IIIT,Not IIT,Not NIT,False
39,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","IIIT(IIIT) Kilohrad, Sonepat, Haryana",IIIT,Not IIT,Not NIT,False
40,Indian Institute of Information Technology(IIIT) Kottayam,IIIT(IIIT) Kottayam,IIIT,Not IIT,Not NIT,False
41,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","IIIT(IIIT) Una, Himachal Pradesh",IIIT,Not IIT,Not NIT,False
42,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","IIIT(IIIT), Vadodara, Gujrat",IIIT,Not IIT,Not NIT,False
43,"Indian Institute of Information Technology, Agartala","IIIT, Agartala",IIIT,Not IIT,Not NIT,False
44,"Indian Institute of Information Technology, Allahabad","IIIT, Allahabad",IIIT,Not IIT,Not NIT,True
45,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","IIIT, Design & Manufacturing, Kancheepuram",IIIT,Not IIT,Not NIT,False
46,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)","IIIT, Vadodara International Campus Diu (IIITVICD)",IIIT,Not IIT,Not NIT,False
47,Indian Institute of Technology (BHU) Varanasi,IIT (BHU) Varanasi,IIT,New IIT,Not NIT,False
48,Indian Institute of Technology (ISM) Dhanbad,IIT (ISM) Dhanbad,IIT,New IIT,Not NIT,False
49,Indian Institute of Technology Bhilai,IIT Bhilai,IIT,New IIT,Not NIT,False
50,Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,IIT,New IIT,Not NIT,False
51,Indian Institute of Technology Bombay,IIT Bombay,IIT,Old IIT,Not NIT,True
52,Indian Institute of Technology Delhi,IIT Delhi,IIT,Old IIT,Not NIT,True
53,Indian Institute of Technology Dharwad,IIT Dharwad,IIT,New IIT,Not NIT,False
54,Indian Institute of Technology Gandhinagar,IIT Gandhinagar,IIT,New IIT,Not NIT,True
55,Indian Institute of Technology Goa,IIT Goa,IIT,New IIT,Not NIT,False
56,Indian Institute of Technology Guwahati,IIT Guwahati,IIT,Old IIT,Not NIT,True
57,Indian Institute of Technology Hyderabad,IIT Hyderabad,IIT,New IIT,Not NIT,True
58,Indian Institute of Technology Indore,IIT Indore,IIT,New IIT,Not NIT,True
59,Indian Institute of Technology Jammu,IIT Jammu,IIT,New IIT,Not NIT,False
60,Indian Institute of Technology Jodhpur,IIT Jodhpur,IIT,New IIT,Not NIT,False
61,Indian Institute of Technology Kanpur,IIT Kanpur,IIT,Old IIT,Not NIT,True
62,Indian Institute of Technology Kharagpur,IIT Kharagpur,IIT,Old IIT,Not NIT,True
63,Indian Institute of Technology Madras,IIT Madras,IIT,Old IIT,Not NIT,True
64,Indian Institute of Technology Mandi,IIT Mandi,IIT,New IIT,Not NIT,False
65,Indian Institute of Technology Palakkad,IIT Palakkad,IIT,New IIT,Not NIT,False
66,Indian Institute of Technology Patna,IIT Patna,IIT,New IIT,Not NIT,False
67,Indian Institute of Technology Roorkee,IIT Roorkee,IIT,Old IIT,Not NIT,True
68,Indian Institute of Technology Ropar,IIT Ropar,IIT,New IIT,Not NIT,False
69,Indian Institute of Technology Tirupati,IIT Tirupati,IIT,New IIT,Not NIT,False
70,"Indian institute of information technology, Raichur, Karnataka","Indian institute of information technology, Raichur, Karnataka",IIIT,Not IIT,Not NIT,False
71,"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",GFTI,Not IIT,Not NIT,False
72,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)","Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",GFTI,Not IIT,Not NIT,False
73,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad","Institute of Infrastructure, Technology, Research and Management-Ahmedabad",GFTI,Not IIT,Not NIT,False
74,"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)",GFTI,Not IIT,Not NIT,False
75,"International Institute of Information Technology, Bhubaneswar","International Institute of Information Technology, Bhubaneswar",IIIT,Not IIT,Not NIT,False
76,"International Institute of Information Technology, Naya Raipur","International Institute of Information Technology, Naya Raipur",IIIT,Not IIT,Not NIT,False
77,Islamic University of Science and Technology Kashmir,Islamic University of Science and Technology Kashmir,GFTI,Not IIT,Not NIT,False
78,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",GFTI,Not IIT,Not NIT,False
79,"Jawaharlal Nehru University, Delhi","Jawaharlal Nehru University, Delhi",GFTI,Not IIT,Not NIT,False
80,Malaviya National Institute of Technology Jaipur,Malaviya NIT Jaipur,NIT,Not IIT,North,True
81,Maulana Azad National Institute of Technology Bhopal,Maulana Azad NIT Bhopal,NIT,Not IIT,North,True
82,"Mizoram University, Aizawl","Mizoram University, Aizawl",GFTI,Not IIT,Not NIT,False
83,Motilal Nehru National Institute of Technology Allahabad,Motilal Nehru NIT Allahabad,NIT,Not IIT,North,False
84,"National Institute of Advanced Manufacturing Technology, Ranchi","National Institute of Advanced Manufacturing Technology, Ranchi",GFTI,Not IIT,Not NIT,False
85,"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)","National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",GFTI,Not IIT,Not NIT,False
86,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)","National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",GFTI,Not IIT,Not NIT,False
87,"National Institute of Electronics and Information Technology, Gorakhpur (UP)","National Institute of Electronics and Information Technology, Gorakhpur (UP)",GFTI,Not IIT,Not NIT,False
88,"National Institute of Electronics and Information Technology, Patna (Bihar)","National Institute of Electronics and Information Technology, Patna (Bihar)",GFTI,Not IIT,Not NIT,False
89,"National Institute of Electronics and Information Technology, Ropar (Punjab)","National Institute of Electronics and Information Technology, Ropar (Punjab)",GFTI,Not IIT,Not NIT,False
90,"National Institute of Food Technology Entrepreneurship and Management, Kundli","National Institute of Food Technology Entrepreneurship and Management, Kundli",GFTI,Not IIT,Not NIT,False
91,"National Institute of Food Technology Entrepreneurship and Management, Sonepat, Haryana","National Institute of Food Technology Entrepreneurship and Management, Sonepat, Haryana",GFTI,Not IIT,Not NIT,False
92,"National Institute of Food Technology Entrepreneurship and Management, Thanjavur","National Institute of Food Technology Entrepreneurship and Management, Thanjavur",GFTI,Not IIT,Not NIT,False
93,"National Institute of Foundry & Forge Technology, Hatia, Ranchi","National Institute of Foundry & Forge Technology, Hatia, Ranchi",GFTI,Not IIT,Not NIT,False
94,National Institute of Technology Agartala,NIT Agartala,NIT,Not IIT,Northeast,False
95,National Institute of Technology Arunachal Pradesh,NIT Arunachal Pradesh,NIT,Not IIT,Northeast,False
96,National Institute of Technology Calicut,NIT Calicut,NIT,Not IIT,South,False
97,National Institute of Technology Delhi,NIT Delhi,NIT,Not IIT,North,True
98,National Institute of Technology Durgapur,NIT Durgapur,NIT,Not IIT,East,False
99,National Institute of Technology Goa,NIT Goa,NIT,Not IIT,South,False
100,National Institute of Technology Hamirpur,NIT Hamirpur,NIT,Not IIT,North,False
101,"National Institute of Technology Karnataka, Surathkal","NIT Karnataka, Surathkal",NIT,Not IIT,South,True
102,National Institute of Technology Meghalaya,NIT Meghalaya,NIT,Not IIT,Northeast,False
103,National Institute of Technology Nagaland,NIT Nagaland,NIT,Not IIT,Northeast,False
104,National Institute of Technology Patna,NIT Patna,NIT,Not IIT,North,False
105,National Institute of Technology Puducherry,NIT Puducherry,NIT,Not IIT,South,False
106,National Institute of Technology Raipur,NIT Raipur,NIT,Not IIT,West,False
107,National Institute of Technology Sikkim,NIT Sikkim,NIT,Not IIT,Northeast,False
108,"National Institute of Technology, Andhra Pradesh","NIT, Andhra Pradesh",NIT,Not IIT,South,False
109,"National Institute of Technology, Jamshedpur","NIT, Jamshedpur",NIT,Not IIT,North,False
110,"National Institute of Technology, Kurukshetra","NIT, Kurukshetra",NIT,Not IIT,North,False
111,"National Institute of Technology, Manipur","NIT, Manipur",NIT,Not IIT,Northeast,False
112,"National Institute of Technology, Mizoram","NIT, Mizoram",NIT,Not IIT,Northeast,False
113,"National Institute of Technology, Rourkela","NIT, Rourkela",NIT,Not IIT,East,False
114,"National Institute of Technology, Silchar","NIT, Silchar",NIT,Not IIT,East,False
115,"National Institute of Technology, Srinagar","NIT, Srinagar",NIT,Not IIT,North,False
116,"National Institute of Technology, Tiruchirappalli","NIT, Tiruchirappalli",NIT,Not IIT,South,True
117,"National Institute of Technology, Uttarakhand","NIT, Uttarakhand",NIT,Not IIT,North,False
118,"National Institute of Technology, Warangal","NIT, Warangal",NIT,Not IIT,South,False
119,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh","North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",GFTI,Not IIT,Not NIT,False
120,"North-Eastern Hill University, Shillong","North-Eastern Hill University, Shillong",GFTI,Not IIT,Not NIT,False
121,"Pondicherry Engineering College, Puducherry","Pondicherry Engineering College, Puducherry",GFTI,Not IIT,Not NIT,False
122,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Pt. Dwarka Prasad Mishra IIIT, Design & Manufacture Jabalpur",IIIT,Not IIT,Not NIT,False
123,"Puducherry Technological University, Puducherry","Puducherry Technological University, Puducherry",GFTI,Not IIT,Not NIT,False
124,"Punjab Engineering College, Chandigarh","Punjab Engineering College, Chandigarh",GFTI,Not IIT,Not NIT,False
125,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)","Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",GFTI,Not IIT,Not NIT,False
126,Sant Longowal Institute of Engineering and Technology,Sant Longowal Institute of Engineering and Technology,GFTI,Not IIT,Not NIT,False
127,"Sardar Vallabhbhai National Institute of Technology, Surat","Sardar Vallabhbhai NIT, Surat",NIT,Not IIT,West,False
128,"School of Engineering, Tezpur University, Napaam, Tezpur","School of Engineering, Tezpur University, Napaam, Tezpur",GFTI,Not IIT,Not NIT,False
129,"School of Planning & Architecture, Bhopal","School of Planning & Architecture, Bhopal",GFTI,Not IIT,Not NIT,False
130,"School of Planning & Architecture, New Delhi","School of Planning & Architecture, New Delhi",GFTI,Not IIT,Not NIT,False
131,School of Planning & Architecture: Vijayawada,School of Planning & Architecture: Vijayawada,GFTI,Not IIT,Not NIT,False
132,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur","School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",GFTI,Not IIT,Not NIT,False
133,Shri G. S. Institute of Technology and Science Indore,Shri G. S. Institute of Technology and Science Indore,GFTI,Not IIT,Not NIT,False
134,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir","Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",GFTI,Not IIT,Not NIT,False
135,University of Hyderabad,University of Hyderabad,GFTI,Not IIT,Not NIT,False
136,"Visvesvaraya National Institute of Technology, Nagpur","Visvesvaraya NIT, Nagpur",NIT,Not IIT,West,False
